# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles:P'
# Event count (approx.): 1305366482
#
# Overhead  Command          Shared Object                     Symbol                                                                                                                                                                                                                                                              
# ........  ...............  ................................  ....................................................................................................................................................................................................................................................................
#
     0.07%  swapper          [kernel.kallsyms]                 [k] ioapic_ir_ack_level
     0.07%  Isolated Web Co  libxul.so                         [.] 0x00000000034ba535
     0.07%  gdbus            libc.so.6                         [.] __strxfrm_l
     0.07%  gnome-terminal-  libxcb.so.1.1.0                   [.] 0x000000000000c508
     0.07%  swapper          [kernel.kallsyms]                 [k] sched_clock
     0.07%  swapper          [kernel.kallsyms]                 [k] _raw_spin_lock_irqsave
     0.07%  InputThread      [kernel.kallsyms]                 [k] restore_fpregs_from_fpstate
     0.07%  swapper          [kernel.kallsyms]                 [k] cpuidle_reflect
     0.07%  swapper          [kernel.kallsyms]                 [k] flush_smp_call_function_queue
     0.07%  gnome-shell      libc.so.6                         [.] __strxfrm_l
     0.07%  Xorg             [kernel.kallsyms]                 [k] ep_poll
     0.07%  swapper          [kernel.kallsyms]                 [k] xhci_update_erst_dequeue
     0.07%  tracker-extract  [kernel.kallsyms]                 [k] mas_wr_node_store
     0.07%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_hash_table_insert
     0.07%  swapper          [kernel.kallsyms]                 [k] ct_idle_exit
     0.07%  tracker-extract  libc.so.6                         [.] 0x00000000000a2793
     0.07%  swapper          [kernel.kallsyms]                 [k] tick_check_oneshot_broadcast_this_cpu
     0.07%  tracker-miner-f  [kernel.kallsyms]                 [k] next_uptodate_folio
     0.06%  gnome-terminal-  [kernel.kallsyms]                 [k] kmem_cache_alloc_node
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] check_heap_object
     0.06%  Xorg             Xorg                              [.] EventToXI2
     0.06%  tracker-extract  libgstreamer-1.0.so.0.2402.0      [.] 0x00000000000afbf1
     0.06%  swapper          [kernel.kallsyms]                 [k] psi_flags_change
     0.06%  StreamTrans #24  libxul.so                         [.] strcmp@plt
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x0000000000027567
     0.06%  InputThread      [kernel.kallsyms]                 [k] clear_bhb_loop
     0.06%  Isolated Web Co  libxul.so                         [.] 0x00000000034ca600
     0.06%  Xorg             Xorg                              [.] DeliverRawEvent
     0.06%  swapper          [kernel.kallsyms]                 [k] cpu_startup_entry
     0.06%  tracker-extract  libgobject-2.0.so.0.8000.0        [.] g_bit_lock@plt
     0.06%  gnome-shell      libglib-2.0.so.0.8000.0           [.] g_hash_table_lookup
     0.06%  Xorg             [kernel.kallsyms]                 [k] clear_bhb_loop
     0.06%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055c5fc
     0.06%  tracker-extract  libc.so.6                         [.] 0x000000000018b487
     0.06%  swapper          [kernel.kallsyms]                 [k] timekeeping_advance
     0.06%  tracker-extract  libgobject-2.0.so.0.8000.0        [.] g_value_init
     0.06%  tracker-extract  libgstreamer-1.0.so.0.2402.0      [.] gst_value_deserialize_with_pspec
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] update_curr_se
     0.06%  Isolated Web Co  libc.so.6                         [.] pthread_mutex_lock
     0.06%  gnome-shell      libmozjs-115.so.115.10.0          [.] 0x000000000055fcf5
     0.06%  swapper          [kernel.kallsyms]                 [k] set_next_entity
     0.06%  tracker-extract  libarchive.so.13.7.2              [.] 0x00000000000123a0
     0.06%  irq/133-ELAN050  [kernel.kallsyms]                 [k] input_get_disposition
     0.06%  swapper          [kernel.kallsyms]                 [k] _regmap_write
     0.06%  tracker-extract  libc.so.6                         [.] 0x0000000000188bbb
     0.06%  tracker-extract  [kernel.kallsyms]                 [k] mab_mas_cp
     0.06%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_strndup
     0.06%  gnome-shell      libc.so.6                         [.] sprofil
     0.06%  tracker-extract  libglib-2.0.so.0.8000.0           [.] g_mutex_lock
     0.06%  swapper          [kernel.kallsyms]                 [k] need_update
     0.06%  InputThread      [kernel.kallsyms]                 [k] __schedule
     0.06%  Xorg             [kernel.kallsyms]                 [k] x64_sys_call
     0.06%  tracker-extract  libc.so.6                         [.] 0x000000000018d3fe
     0.06%  swapper          [kernel.kallsyms]                 [k] pick_next_task_fair
     0.06%  journal-offline  [unknown]                         [.] 0000000000000000
     0.06%  tracker-extract  ld-linux-x86-64.so.2              [.] 0x000000000000a610
     0.06%  usb-storage      [kernel.kallsyms]                 [k] xhci_ring_ep_doorbell
     0.06%  swapper          [kernel.kallsyms]                 [k] eoi_ioapic_pin
